HeatingQC	CentralAir	Electrical	1stFlrSF	2ndFlrSF	LowQualFinSF	GrLivArea	BsmtFullBath	BsmtHalfBath	FullBath	HalfBath	BedroomAbvGr	KitchenAbvGr	KitchenQual	TotRmsAbvGrd	Functional	Fireplaces	FireplaceQu	GarageType	GarageYrBlt	GarageFinish	GarageCars	GarageArea	GarageQual	GarageCond	PavedDrive	WoodDeckSF	OpenPorchSF	EnclosedPorch	3SsnPorch	ScreenPorch	PoolArea	PoolQC	Fence	MiscFeature	MiscVal	MoSold	YrSold	SaleType	SaleCondition
			1.0	1.0																		1.0																	
			1.0			1.0																																	
			1.0			2.0																																	
			1.0			2.0																																	
			1.0			1.0																																	
			1.0	1.0																		1.0																	
			1.0																																				
			1.0			3.0																																	
			1.0			1.0																																	
			1.0	3.0																		17.0				1.0													
			1.0			1.0																2.0																	
			1.0																																				
			1.0			2.0																																	
			1.0			3.0																																	
			1.0			1.0																																	
			1.0			1.0																																	
			1.0			2.0																																	
			1.0			2.0																																	
			1.0	2.0																																			
			1.0			1.0																																	
			1.0	8.0																		1.0																	
			1.0			1.0																																	
			1.0			1.0																																	
			1.0			1.0																																	
			1.0			2.0																																	
			1.0			1.0																																	
			1.0			1.0																																	
			1.0	3.0																		2.0																	
			1.0	3.0																		2.0																	
			1.0			1.0																																	
			1.0																																				
			1.0	1.0		2.0																																	
			1.0			2.0																																	
			1.0			1.0																																	
			1.0			3.0																																	
			1.0																																				
			1.0			1.0													2.0																				
			1.0																																				
			1.0			3.0																																	
			1.0			1.0																																	
			1.0			1.0																																	
			1.0			1.0																																	
			1.0	1.0		1.0																																	
			1.0			1.0																																	
			1.0			2.0																																	
			1.0			2.0																																	
			1.0			3.0													36.0																				
			1.0			1.0																																	
			1.0			4.0																																	
			1.0			3.0																																	
			1.0			2.0																																	
			1.0	4.0																		3.0																	
			1.0			1.0																																	
			1.0			1.0																																	
			1.0			1.0																																	
			1.0			2.0																																	
			1.0			1.0																																	
			1.0	2.0																																			
			1.0			1.0																																	
			1.0			3.0																																	
			1.0			1.0																																	
			1.0			1.0																																	
			1.0			3.0																																	
			1.0			2.0																																	
			1.0			1.0																																	
			1.0			1.0																																	
			1.0			4.0																																	
			1.0			2.0																																	
			1.0			1.0																																	
			1.0	1.0		1.0																																	
			1.0	4.0																		5.0																	
			1.0			1.0																																	
			1.0	1.0		3.0																																	
			1.0			3.0																																	
			1.0	2.0		1.0																																	
			1.0	1.0																		1.0																	
			1.0	3.0																																			
			1.0																																				
			1.0			2.0																																	
			1.0			5.0																																	
			1.0			3.0																																	
			1.0	1.0																																			
			1.0			2.0																																	
			1.0			2.0																																	
			1.0			5.0																																	
			1.0			2.0													48.0																				
			1.0			1.0																																	
			1.0			1.0													18.0																				
			1.0			1.0																																	
			1.0			2.0																																	
			1.0	3.0																						1.0													
			1.0			2.0																																	
			1.0			1.0																																	
			1.0			2.0																																	
			1.0			2.0																																	
			1.0			2.0																																	
			1.0			1.0																																	
			1.0			1.0																1.0																	
			1.0			1.0																																	
			1.0																																				
			1.0			3.0																																	
			1.0			1.0																																	
			1.0	1.0																		5.0																	
			1.0			2.0																																	
			1.0			2.0																																	
			1.0	1.0		3.0																																	
			1.0			1.0																																	
			1.0																																				
			1.0																			1.0																	
			1.0			1.0																																	
			1.0			1.0																																	
			1.0																																				
			1.0			2.0													4.0																				
			1.0			1.0																																	
			1.0			1.0																1.0																	
			1.0			3.0																																	
			1.0			2.0																																	
			1.0			6.0																																	
			1.0			1.0																																	
			1.0			2.0																																	
			1.0			1.0																																	
			1.0	1.0																		2.0																	
			1.0	1.0		2.0																																	
			1.0			1.0													32.0																				
			1.0																																				
			1.0			3.0													37.0																				
				1668.0	2879.0		1705.0	2742.0	12.0	1834.0	8.0	3.0				1420.0					157.0	157.0				1523.0	1298.0	2460.0	2882.0	2663.0	2906.0				2816.0				
				17.0																		21.0																	
				7.0																		1.0																	
				6.0																		23.0				1.0													
				6.0																		1.0																	
				5.0																		5.0																	
				5.0																		17.0				1.0													
				5.0																		5.0																	
				5.0																		3.0				1.0													
				4.0																		16.0																	
				4.0																		5.0													3.0				
				4.0																		1.0																	
				4.0																		4.0																	
				4.0																		1.0																	
				4.0																		5.0																	
				4.0																																			
				4.0		1.0																6.0				1.0													
				3.0																		1.0																	
				3.0																		7.0													1.0				
				3.0																		2.0																	
				3.0																		8.0									1.0								
				3.0																																			
				3.0																		2.0																	
				3.0	1.0																	9.0																	
				3.0																		2.0																	
				3.0	1.0																	7.0									1.0								
				3.0																		4.0					1.0	1.0			1.0								
				3.0																		3.0				1.0													
				3.0																		1.0				2.0													
				3.0																		2.0																	
				3.0																		3.0																	
				3.0																																			
				3.0																		1.0																	
				3.0																		1.0													7.0				
				3.0																		69.0				20.0	6.0	5.0		2.0									
				3.0																		1.0																	
				3.0																		14.0																	
				3.0																		2.0																	
				3.0																																			
				2.0																		1.0																	
				2.0																		5.0				2.0	1.0												
				2.0																		7.0				1.0													
				2.0																		11.0																	
				2.0																										1.0									
				2.0																																			
				2.0																		2.0																	
				2.0		3.0																																	
				2.0																		8.0																	
				2.0																		1.0																	
				2.0																		1.0				1.0													
				2.0																		4.0																	
				2.0																																			
				2.0																		5.0																	
				2.0																		12.0																	
				2.0		1.0																																	
				2.0																		1.0				4.0		1.0											
				2.0																		2.0																	
				2.0																		2.0																	
				2.0	1.0																	4.0				1.0													
				2.0																		1.0				15.0	3.0	2.0		1.0									
				2.0																																			
				2.0																		11.0				8.0	1.0	4.0		1.0									
				2.0																																			
				2.0																		1.0																	
				2.0																		2.0																	
				2.0																		6.0				1.0													
				2.0																		29.0				1.0													
				2.0																		3.0																	
				2.0																		2.0																	
				2.0																		5.0				2.0													
				2.0																		1.0				2.0	1.0												
				2.0																		1.0																	
				2.0																		2.0				2.0													
				2.0	1.0																	21.0				1.0													
				2.0																		1.0																	
				2.0																		3.0																	
				2.0																																			
				2.0																		3.0				1.0													
				2.0																		5.0				1.0													
				2.0																		2.0													1.0				
				2.0																																			
				2.0																		1.0																	
				2.0																		1.0						1.0											
				2.0																		2.0				1.0													
				1.0																		7.0																	
				1.0																																			
				1.0																		12.0				2.0													
				1.0																		3.0				1.0													
				1.0																		3.0				1.0	1.0				1.0								
				1.0																		9.0																	
				1.0		4.0																																	
				1.0	2.0																	16.0				2.0			1.0										
				1.0																		5.0																	
				1.0																																			
				1.0																		1.0																	
				1.0																		5.0																	
				1.0																							2.0												
				1.0																		3.0				2.0				2.0									
				1.0																		2.0																	
				1.0	1.0																	19.0				5.0	4.0			1.0									
				1.0																						3.0		3.0											
				1.0																		2.0																	
				1.0																																			
				1.0																																			
				1.0																		2.0																	
				1.0																		1.0																	
				1.0																		6.0				3.0			1.0										
				1.0																		5.0																	
				1.0																		2.0				1.0													
				1.0																		4.0				1.0													
				1.0																																			
				1.0																		2.0																	
				1.0																		58.0				5.0									18.0				
				1.0																		5.0					1.0												
				1.0																																			
				1.0	1.0																	29.0													1.0				
				1.0																		4.0				1.0		1.0											
				1.0																		4.0																	
				1.0																		1.0				4.0													
				1.0																		6.0																	
				1.0																		6.0				1.0									13.0				
				1.0																		3.0				6.0	5.0	3.0		1.0	1.0								
				1.0																		6.0																	
				1.0																																			
				1.0	1.0																					61.0	12.0	11.0	2.0	13.0	1.0								
				1.0																																			
				1.0																		2.0																	
				1.0	1.0																	65.0																	
				1.0																		1.0				2.0													
				1.0																						2.0	1.0		1.0										
				1.0	1.0																	10.0				1.0									9.0				
				1.0																		1.0																	
				1.0																		3.0				1.0													
				1.0																						10.0	3.0		1.0	3.0									
				1.0																																			
				1.0																																			
				1.0																		3.0				1.0													
				1.0																		2.0																	
				1.0																																			
				1.0																		2.0																	
				1.0																		1.0				1.0													
				1.0																		8.0						1.0											
				1.0																		9.0								1.0									
				1.0		1.0																																	
				1.0																		1.0																	
				1.0																						5.0	1.0												
				1.0																		6.0				2.0													
				1.0																		5.0																	
				1.0																		1.0				1.0													
				1.0																																			
				1.0																		3.0																	
				1.0																		2.0																	
				1.0																		1.0																	
				1.0																																			
				1.0																		48.0				1.0													
				1.0																		3.0																	
				1.0																		2.0				1.0													
				1.0																		8.0																	
				1.0																																			
				1.0																		2.0				19.0	2.0	3.0	1.0	6.0									
				1.0																						3.0	9.0			2.0									
				1.0																		8.0					1.0												
				1.0																		2.0																	
				1.0																		5.0				1.0													
				1.0																		1.0																	
				1.0																		9.0				1.0													
				1.0																		4.0				1.0													
				1.0																		9.0																	
				1.0																		2.0																	
				1.0																																			
				1.0																		2.0																	
				1.0																		2.0																	
				1.0																		2.0																	
				1.0																		1.0				3.0													
				1.0																							1.0												
				1.0																		1.0																	
				1.0																		1.0				1.0	1.0	1.0											
				1.0																																			
				1.0																		3.0																	
				1.0																		3.0				1.0													
				1.0																						1.0		1.0											
				1.0																		1.0				1.0													
				1.0	1.0																	2.0				1.0													
				1.0		2.0																																	
				1.0																		2.0																	
				1.0																																			
				1.0																		3.0																	
				1.0																																			
				1.0																																			
				1.0																		2.0																	
				1.0																		1.0				1.0													
				1.0																		3.0																	
				1.0																																			
				1.0	1.0																	14.0				2.0													
				1.0																		1.0																	
				1.0		1.0																																	
				1.0																																			
				1.0																																			
				1.0																		1.0				70.0	9.0	10.0		11.0									
				1.0																																			
				1.0																		2.0				2.0													
				1.0																		16.0				11.0	4.0	7.0	2.0	7.0									
				1.0																		4.0																	
				1.0																		1.0				4.0	1.0	2.0		1.0									
				1.0																		2.0																	
				1.0																		3.0																	
				1.0																		5.0																	
				1.0																																			
				1.0																																			
				1.0																		4.0																	
				1.0																		2.0																	
				1.0																		4.0																	
				1.0																																			
				1.0																		2.0					1.0												
				1.0																		1.0																	
				1.0																		1.0																	
				1.0																																			
				1.0																		5.0				1.0													
				1.0																		1.0				1.0									1.0				
				1.0	1.0																	3.0																	
				1.0																		2.0																	
				1.0																																			
				1.0		2.0																																	
				1.0																		4.0				5.0		1.0		1.0									
				1.0																		3.0				1.0	2.0		1.0										
				1.0																		4.0				2.0													
				1.0																		3.0																	
				1.0																		3.0																	
				1.0																		3.0																	
					4.0																					8.0	14.0	5.0		1.0					1.0				
					2.0																	4.0				1.0	1.0	4.0											
					1.0																					10.0	13.0	2.0		2.0									
					1.0																					1.0		1.0		2.0									
					1.0																	8.0				3.0													
					1.0																					1.0													
					1.0																					5.0	9.0	2.0											
					1.0																					29.0	7.0	5.0	1.0	2.0									
					1.0																	2.0																	
					1.0																	4.0																	
					1.0																					53.0	19.0	9.0	1.0	9.0									
					1.0																	2.0																	
					1.0																					2.0													
					1.0																					1.0	11.0			1.0									
					1.0																	5.0																	
					1.0																					12.0	2.0	5.0		4.0									
					1.0																	7.0				1.0													
					1.0																	3.0				1.0	3.0	2.0		1.0									
					1.0																	3.0																	
						12.0																																	
						6.0																																	
						4.0																																	
						4.0																																	
						4.0																																	
						4.0																																	
						4.0													33.0																				
						3.0																																	
						3.0																																	
						3.0													42.0																				
						3.0																																	
						3.0																																	
						3.0																																	
						3.0													7.0																				
						3.0																																	
						3.0																																	
						3.0																																	
						3.0																																	
						3.0																																	
						3.0																																	
						2.0													29.0																		647.0		
						2.0																																	
						2.0																																	
						2.0																																	
						2.0																																	
						2.0																																	
						2.0																																	
						2.0																																	
						2.0																																	
						2.0													115.0																		692.0		
						2.0																																	
						2.0																																	
						2.0																																	
						2.0																																	
						2.0													27.0																				
						2.0																																	
						2.0																																	
						2.0																																	
						2.0																																	
						2.0																																	
						2.0																																	
						2.0																																	
						2.0																																	
						2.0													17.0																				
						2.0																																	
						2.0																																	
						2.0													66.0																				
						2.0																																	
						2.0																																	
						2.0													35.0																				
						2.0																																	
						2.0																																	
						2.0													19.0																				
						2.0																																	
						2.0																																	
						2.0													15.0																				
						2.0																																	
						2.0																																	
						2.0																																	
						2.0													1.0																				
						2.0																																	
						2.0																																	
						2.0													23.0																				
						2.0																																	
						2.0																																	
						2.0													32.0																				
						2.0													8.0																				
						2.0																																	
						2.0																																	
						2.0													9.0																				
						2.0													21.0																				
						2.0																																	
						2.0																																	
						2.0																																	
						2.0																																	
						2.0																																	
						2.0																																	
						2.0																																	
						2.0													5.0																				
						2.0																																	
						2.0																1.0																	
						2.0																																	
						2.0													12.0																				
						2.0																																	
						2.0																																	
						2.0																																	
						2.0																																	
						2.0																																	
						2.0																																	
						2.0																																	
						2.0													35.0																				
						2.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0													2.0																				
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																													1.0				
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0													99.0																				
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0													17.0																				
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0													20.0																				
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0													16.0																				
						1.0																																	
						1.0																																	
						1.0													19.0																				
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																													2.0				
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0													24.0																				
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0													11.0																				
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0													31.0																				
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0													7.0																				
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0													61.0																		622.0		
						1.0																																	
						1.0																																	
						1.0													7.0																				
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0													49.0																				
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0													1.0																				
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0													8.0																				
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0													37.0																				
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0													6.0																				
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0													32.0																				
						1.0																																	
						1.0																																	
						1.0													11.0																				
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0													6.0																				
						1.0																																	
						1.0																																	
						1.0																																	
						1.0													4.0																				
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0													53.0																				
						1.0																																	
						1.0													24.0																				
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0													1.0																				
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0													19.0																				
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
						1.0																																	
							1172.0	171.0	1309.0	1060.0	103.0	2785.0				1268.0					776.0															122.0			
							38.0	4.0	1530.0	25.0	742.0	129.0		1.0		219.0					1594.0															133.0			
							2.0		64.0		1596.0	2.0		25.0		11.0					374.0															232.0			
									4.0		400.0			196.0		1.0					16.0					1.0	1.0									279.0			
											48.0			583.0							1.0															394.0			
											21.0			844.0													1.0									503.0			
											1.0			347.0													1.0									233.0			
														649.0																						446.0			
														143.0																						158.0			
														80.0													2.0									173.0			
														32.0													3.0									142.0			
														16.0												2.0	5.0									104.0			
														1.0												1.0													
														1.0																									
														1.0													2.0												
															2717.0																								
															70.0																								
															65.0																								
															35.0																								
															19.0																								
															9.0																								
															2.0																								
																		1723.0																					
																		779.0																					
																		186.0																					
																		36.0																					
																		23.0																					
																		15.0																					
																			142.0																				
																			92.0																				
																			58.0																				
																			54.0																				
																			44.0																				
																			41.0																				
																			41.0																				
																			40.0																				
																			39.0																				
																			35.0																				
																			35.0																				
																			34.0																				
																			34.0																				
																			34.0																				
																			28.0																				
																			27.0																				
																			26.0																				
																			18.0																				
																			15.0																				
																			15.0																				
																			14.0																				
																			10.0																				
																			10.0																				
																			9.0																				
																			6.0																				
																			6.0																				
																			5.0																		339.0		
																			5.0																				
																			4.0																				
																			3.0																				
																			2.0																				
																			1.0																				
																				1230.0																			
																				811.0																			
																				719.0																			
																						96.0								1.0									
																						68.0					1.0												
																						51.0				9.0		3.0		1.0									
																						50.0				6.0	1.0	1.0		4.0									
																						30.0				10.0		4.0		1.0									
																						23.0				13.0	1.0	6.0	2.0	8.0									
																						21.0																	
																						20.0				2.0		1.0											
																						17.0				3.0													
																						16.0				3.0									1.0				
																						14.0				2.0									1.0				
																						14.0																	
																						11.0				13.0	2.0	2.0		7.0									
																						11.0																	
																						10.0				2.0		1.0											
																						10.0																	
																						9.0																	
																						9.0																	
																						9.0				1.0				1.0					1.0				
																						9.0				2.0													
																						9.0				3.0				1.0									
																						8.0																	
																						7.0				1.0													
																						7.0				3.0													
																						7.0								1.0									
																						6.0																	
																						6.0				8.0	1.0	1.0		3.0									
																						6.0																	
																						6.0																	
																						6.0																	
																						6.0				7.0	1.0												
																						5.0				1.0	1.0	1.0		1.0									
																						5.0																	
																						5.0																	
																						5.0																	
																						5.0						1.0											
																						5.0																	
																						5.0				2.0		1.0											
																						5.0				4.0	1.0	1.0	1.0	4.0									
																						5.0																	
																						5.0																	
																						5.0				1.0													
																						5.0																	
																						4.0				1.0													
																						4.0													1.0				
																						4.0				1.0	1.0												
																						4.0				2.0				1.0									
																						4.0																	
																						4.0																	
																						4.0				2.0	1.0	1.0											
																						4.0																	
																						4.0																	
																						4.0																	
																						4.0				1.0													
																						4.0				2.0													
																						4.0				2.0	1.0												
																						4.0				2.0	1.0			1.0									
																						4.0				11.0	2.0	1.0		3.0									
																						4.0				1.0	1.0	2.0											
																						4.0																	
																						3.0							1.0										
																						3.0																	
																						3.0				1.0													
																						3.0				17.0	3.0	7.0		6.0									
																						3.0				1.0													
																						3.0				2.0	1.0	1.0											
																						3.0				2.0	1.0	1.0											
																						3.0				1.0	1.0												
																						3.0				1.0		1.0											
																						3.0																	
																						3.0																	
																						3.0				1.0	3.0			3.0									
																						3.0																	
																						3.0																	
																						3.0					1.0			1.0									
																						3.0				2.0													
																						3.0																	
																						3.0																	
																						3.0				1.0		1.0											
																						3.0				2.0	1.0	2.0		1.0									
																						2.0									1.0								
																						2.0				1.0	1.0												
																						2.0																	
																						2.0																	
																						2.0				2.0													
																						2.0																	
																						2.0				1.0													
																						2.0																	
																						2.0																	
																						2.0				1.0	1.0			1.0									
																						2.0				5.0	3.0	1.0	1.0	1.0									
																						2.0																	
																						2.0				1.0													
																						2.0																	
																						2.0																	
																						2.0																	
																						2.0				1.0													
																						2.0																	
																						2.0				1.0													
																						2.0				2.0		1.0											
																						2.0																	
																						2.0								1.0									
																						2.0				2.0	1.0												
																						2.0				1.0													
																						2.0				4.0		1.0											
																						2.0																	
																						2.0																	
																						2.0																	
																						2.0																	
																						2.0				4.0	1.0	5.0		1.0									
																						2.0																	
																						2.0				3.0	1.0												
																						2.0				1.0													
																						2.0																	
																						2.0																	
																						2.0																	
																						2.0				1.0													
																						1.0						1.0											
																						1.0				3.0	2.0			2.0									
																						1.0				1.0	3.0	1.0											
																						1.0				2.0													
																						1.0				2.0	1.0	1.0											
																						1.0				1.0													
																						1.0																	
																						1.0				2.0													
																						1.0				3.0													
																						1.0																	
																						1.0																	
																						1.0					1.0												
																						1.0																	
																						1.0																	
																						1.0				74.0	13.0	6.0		5.0									
																						1.0																	
																						1.0																	
																						1.0																	
																						1.0				1.0													
																						1.0																	
																						1.0					1.0												
																						1.0																	
																						1.0				2.0	3.0	1.0		1.0									
																						1.0																	
																						1.0				1.0		1.0											
																						1.0				2.0													
																						1.0				3.0													
																						1.0						1.0											
																						1.0				7.0	4.0	3.0		2.0									
																						1.0								1.0									
																						1.0					1.0			1.0									
																						1.0							1.0										
																						1.0																	
																						1.0					1.0	1.0											
																						1.0																	
																						1.0																	
																						1.0																	
																						1.0				2.0													
																						1.0				4.0													
																						1.0				3.0		2.0											
																						1.0				1.0													
																						1.0																	
																						1.0				1.0													
																						1.0				5.0		1.0	1.0										
																						1.0				2.0													
																						1.0				1.0													
																						1.0				1.0													
																						1.0				2.0													
																						1.0				1.0			1.0	2.0									
																						1.0																	
																						1.0				1.0	1.0			1.0									
																						1.0				3.0		1.0											
																						1.0				1.0													
																						1.0				1.0													
																						1.0																	
																						1.0				1.0													
																						1.0																	
																						1.0				5.0	2.0	1.0		2.0									
																						1.0				3.0		3.0											
																						1.0																	
																						1.0																	
																						1.0				1.0	1.0	3.0											
																						1.0				1.0	4.0	1.0		4.0									
																									62.0														
																										56.0	5.0	9.0	3.0	10.0									
																										14.0		2.0		1.0									
																										9.0	6.0	7.0	1.0	1.0									
																										9.0	6.0	1.0											
																										9.0	51.0	3.0											
																										9.0		2.0	1.0	2.0									
																										9.0	5.0	7.0		1.0									
																										8.0	10.0	22.0		3.0									
																										8.0	24.0	4.0		1.0									
																										8.0	8.0	2.0											
																										8.0	19.0	13.0	1.0										
																										8.0	52.0	5.0											
																										8.0	2.0												
																										7.0				3.0									
																										7.0	6.0	3.0		1.0									
																										7.0	3.0	2.0											
																										7.0	2.0	2.0		1.0									
																										7.0	7.0	1.0											
																										6.0	10.0	4.0											
																										6.0	1.0	1.0											
																										6.0	1.0			1.0									
																										6.0		3.0											
																										6.0	3.0	5.0	1.0	2.0									
																										6.0	3.0	1.0		2.0									
																										6.0	44.0	8.0		1.0									
																										5.0	36.0	2.0											
																										5.0		1.0											
																										5.0	7.0	3.0											
																										5.0	1.0	1.0											
																										5.0	1.0			1.0									
																										5.0	2.0	2.0		2.0									
																										5.0	10.0	2.0		1.0									
																										5.0	2.0	1.0	1.0										
																										5.0	21.0	8.0		1.0									
																										5.0	3.0	1.0		2.0									
																										5.0													
																										5.0	1.0			1.0									
																										4.0	1.0												
																										4.0	38.0	4.0											
																										4.0		2.0											
																										4.0	5.0			3.0									
																										4.0	3.0			4.0									
																										4.0	17.0	4.0											
																										4.0	2.0	1.0	1.0	1.0									
																										4.0	4.0												
																										4.0	3.0	2.0		2.0									
																										4.0	3.0			1.0									
																										4.0	3.0	5.0		1.0									
																										4.0	4.0	3.0											
																										4.0		1.0		3.0									
																										4.0	22.0	1.0											
																										4.0	29.0	6.0		1.0									
																										4.0	9.0	1.0		1.0									
																										4.0	3.0	2.0		1.0									
																										4.0	10.0												
																										3.0	3.0												
																										3.0	10.0	8.0		2.0									
																										3.0	16.0			1.0									
																										3.0													
																										3.0													
																										3.0	1.0	1.0											
																										3.0	7.0												
																										3.0	19.0												
																										3.0	1.0												
																										3.0		3.0											
																										3.0	3.0			1.0									
																										3.0	2.0												
																										3.0	7.0												
																										3.0	11.0	1.0	1.0	1.0									
																										3.0	35.0	1.0											
																										3.0	3.0												
																										3.0	20.0	3.0											
																										3.0	12.0	2.0											
																										3.0	5.0	1.0		2.0									
																										3.0	8.0	1.0		1.0									
																										3.0	1.0	3.0		1.0									
																										3.0	8.0												
																										3.0	11.0	1.0											
																										3.0													
																										3.0	1.0												
																										3.0													
																										3.0	17.0	4.0		3.0									
																										3.0	10.0												
																										2.0	3.0												
																										2.0	16.0	1.0											
																										2.0	4.0	2.0		1.0									
																										2.0	15.0	5.0											
																										2.0	2.0												
																										2.0	1.0												
																										2.0	1.0												
																										2.0	29.0	1.0											
																										2.0													
																										2.0	18.0	1.0							1.0				
																										2.0	3.0	1.0											
																										2.0	17.0	5.0											
																										2.0	1.0	1.0											
																										2.0	1.0	2.0		1.0									
																										2.0	15.0	3.0											
																										2.0	1.0												
																										2.0	31.0	3.0											
																										2.0	1.0	1.0											
																										2.0		1.0		2.0									
																										2.0	1.0												
																										2.0	1.0	1.0		1.0									
																										2.0													
																										2.0	1.0	2.0		3.0									
																										2.0	11.0	1.0											
																										2.0													
																										2.0													
																										2.0	5.0	1.0		1.0									
																										2.0	1.0												
																										2.0	1.0			1.0									
																										2.0	4.0	5.0		4.0									
																										2.0													
																										2.0				1.0									
																										2.0	7.0			1.0									
																										2.0													
																										2.0		1.0	1.0										
																										1.0	1.0												
																										1.0													
																										1.0	9.0												
																										1.0	1.0	1.0		1.0									
																										1.0	2.0												
																										1.0	5.0	1.0		1.0									
																										1.0	1.0												
																										1.0	4.0	2.0											
																										1.0	8.0												
																										1.0	17.0	1.0											
																										1.0	5.0	4.0											
																										1.0	10.0												
																										1.0	15.0	4.0											
																										1.0	1.0	2.0		1.0									
																										1.0	2.0	2.0											
																										1.0	2.0												
																										1.0													
																										1.0													
																										1.0	4.0			1.0									
																										1.0													
																										1.0	1.0												
																										1.0	15.0	1.0											
																										1.0													
																										1.0				1.0									
																										1.0	33.0	2.0											
																										1.0		1.0		1.0									
																										1.0	1.0												
																										1.0	20.0	1.0											
																										1.0	1.0												
																										1.0					1.0								
																										1.0	11.0	2.0											
																										1.0	23.0	3.0											
																										1.0													
																										1.0	7.0	1.0											
																										1.0	6.0												
																										1.0													
																										1.0	7.0	1.0											
